,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
141,Sor,"Serdar Ortaç",31324,https://open.spotify.com/track/5Uzxouh00sQqfcUd6I4BnW
142,"Ankara'yla Bozuşuruz","Perdenin Ardındakiler",31273,https://open.spotify.com/track/331L2mzSnATjKw0dI6JGXv
143,"Best Friend (feat. Doja Cat)",Saweetie,31082,https://open.spotify.com/track/20BOju91NaEFK5Py4VJ2pp
144,"Hadi Gittik",Ozbi,31051,https://open.spotify.com/track/5spRq2fo0LGlbWoZRl6NzD
145,"Kupa Kızı Ve Sinek Valesi",Teoman,30865,https://open.spotify.com/track/68xnudIZzP49DreYAMlbqZ
146,Nimet,Didomido,30839,https://open.spotify.com/track/3917xM4PvycBOYacEeJfXt
147,"Kaybolurum Gülüşünde",İkilem,30819,https://open.spotify.com/track/67ZwIUIM4se0mV5OT5ugsB
148,"Slam Dunk",Patron,30660,https://open.spotify.com/track/2EjorgHe9XSo5V4CaPawAm
149,METEOR,Xir,30637,https://open.spotify.com/track/4LsPjyty35CPGnvgy4aybJ
150,"Böyle Sever","Kahraman Deniz",30633,https://open.spotify.com/track/7hU3H2id2pBVawD7e3zd8N
151,"First Class",Ceg,30595,https://open.spotify.com/track/7lmPbiKRN5aY5lOhq5Pq9s
152,"Aman Aman",Duman,30486,https://open.spotify.com/track/0NeO8RLuVdFRigkKhjBgbT
153,Kahrettim,"Mabel Matiz",30267,https://open.spotify.com/track/6oSiqvaLNJk8PWF9G7jGh8
154,"GECELERİN DERDİ",BEGE,30191,https://open.spotify.com/track/5L9oweGjkwBg0Mt9ZU9OhW
155,Heveslenmem,"Lil Zey",30110,https://open.spotify.com/track/2KTS944WTCWEL1IAlYhzD6
156,"Ben De Yoluma Giderim","Sezen Aksu",30076,https://open.spotify.com/track/0YGzausz5cMhQDiJj1RQuv
157,"Rüyalarda Buruşmuşum",Adamlar,29980,https://open.spotify.com/track/4cQSOn9oP0MiM7BgiRngFk
158,"Düş Yakamdan",UZI,29804,https://open.spotify.com/track/21gsq4esxsCV46ikMdqmaV
159,Valse,"Evgeny Grinko",29762,https://open.spotify.com/track/41UTnVa6DvcVPUYoXWA97h
160,"Sağı Solu Kes",Gazapizm,29700,https://open.spotify.com/track/5GBbUx3eAHDgoOvdcpFObI
161,"Müzik Kutusu","Emir Can İğrek",29670,https://open.spotify.com/track/5x5GwoDNfKSsq6Mgm0FVIp
162,"Dom Dom Kurşunu","İbrahim Tatlıses",29662,https://open.spotify.com/track/5gJjYGOIJxj9UbFKU2YNpE
163,"Anıları Sakla","Batuhan Kordel",29613,https://open.spotify.com/track/4MKL1sm8VqknemVs2yjs4M
164,"O Ben Olamam","Mavi Gri",29476,https://open.spotify.com/track/3jwAjmoSIleloreUAmTkBI
165,"Another Love","Tom Odell",29348,https://open.spotify.com/track/7jtQIBanIiJOMS6RyCx6jZ
166,Nirvana,Gülşen,29330,https://open.spotify.com/track/7msHf1EMPuB73Pq8zQV4Gw
167,Zombi,Adamlar,29266,https://open.spotify.com/track/73Ec1iE2MDm6Y16Tq2Rz8O
168,Lavinia,Dest,29208,https://open.spotify.com/track/4WzEt032hy8gLMSJVOB90O
169,Yaranamadım,Heijan,28893,https://open.spotify.com/track/33FkmK9hhidHeg5jxMfZoD
170,"Hiç Uyanmasam","Evdeki Saat",28863,https://open.spotify.com/track/1ewSoltnKAlUG7vl6T6bWU
171,"Eskimiş Senelere",Aspova,28834,https://open.spotify.com/track/5XR0fbf6IAizysmuSQDoUX
172,"Leyla & Mecnun","Cem Belevi",28783,https://open.spotify.com/track/6npz2LNhco8qYAloW7lTMS
173,"Ay Tenli Kadın","Ufuk Beydemir",28732,https://open.spotify.com/track/5CaKpl8JB1FMCbsgh0sgO8
174,"Влюбился в неё",Deesmi,28560,https://open.spotify.com/track/4DbGntPVyXDvu9vFCYQCcW
175,Poşet,"Serdar Ortaç",28542,https://open.spotify.com/track/0PlABPqYHKhlhTgGbHWuMr
176,"Ne Güzel Güldün",Pinhani,28541,https://open.spotify.com/track/79bKKv3MNqU7jec2IFKw7d
177,"Ben Adam Olmam","Serdar Ortaç",28133,https://open.spotify.com/track/4hT4tcqFWGR4Da5ONBSMkW
178,Müptela,Joker,28017,https://open.spotify.com/track/1si0swS5ljmfhJPfUWCaKD
179,"Save Your Tears","The Weeknd",27899,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
180,Kendime,"Perdenin Ardındakiler",27868,https://open.spotify.com/track/4ee9d7xC5xDIqiLZUvbrsL
181,"Bırakman Doğru Mu 2","Zeynep Bastık",27834,https://open.spotify.com/track/3DZ2ivlwnX8KDyRTmxLGfi
182,"Sıcak Şarap","Batuhan Kordel",27802,https://open.spotify.com/track/2EbglAExnyDNFhjDa4tMAy
183,"Üçe Beşe Bakamam","Ben Fero",27786,https://open.spotify.com/track/3VQJS46K7ClaoJU4fza4Ou
184,Affet,"Sezen Aksu",27490,https://open.spotify.com/track/0lSMXNAFsSCCtkzclet3oG
185,"Bikinisinde Astronomi (Bonus Trek)","Son Feci Bisiklet",27240,https://open.spotify.com/track/2Nw7SJPxBMbkQdTVPatSgR
186,Doldum,Adamlar,27210,https://open.spotify.com/track/10vMg2buspa0U2oax3vup1
187,"Son Kez",Rota,27124,https://open.spotify.com/track/63fjQLjhsxOAJvuud4qdJX
188,Siyah,Patron,27040,https://open.spotify.com/track/7JsCNbqn3zbL7mrsSlY3L2
189,"Tek Tabanca",Khontkar,27019,https://open.spotify.com/track/3GXsNll1tpH9h9R3ygsEmB
190,Mercedes-Benz,Organize,26963,https://open.spotify.com/track/6KXCI6kj8Pj5zaJWcpXzKd
191,COnnection,Velet,26753,https://open.spotify.com/track/6LAlCuIqVod6A4k4v02hB6
192,"Bu Yüzden","Güncel Gürsel Artıktay",26730,https://open.spotify.com/track/4EstSHM71cWOVCvIG4pTVB
193,AYA,Murda,26621,https://open.spotify.com/track/4ywdchqXzNiX5S8YqKzGtA
194,Kron1k,No.1,26551,https://open.spotify.com/track/6vLPgqdXSzEaVYx92YoFjd
195,"Yüreksiz Tilki",Buray,26429,https://open.spotify.com/track/76EZiM6rHEFUSdCoponHZO
196,"Bu Rüya Benim",Gazapizm,26423,https://open.spotify.com/track/2ghswfACdziiy2iLEqxclr
197,"Yorgun Demokrat","Ahmet Kaya",26422,https://open.spotify.com/track/1ffexZp7QsAa3R04gd6W2A
198,"Benden Bana",Adamlar,26379,https://open.spotify.com/track/0XQ2P5tDwhWXkps7xO7vWP
199,Defoluyorum,"Emir Can İğrek",26317,https://open.spotify.com/track/2fvT2Y3xXxjNLxZgV4Si9t
200,Duman,Murda,26308,https://open.spotify.com/track/4Rgg8Go1YSmz2o00ZiZiP7
