,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
88,"Don't Stop Believin'",Journey,11169,https://open.spotify.com/track/4bHsxqR3GMrXTxEPLuK5ue
89,"Prisoner (feat. Dua Lipa)","Miley Cyrus",11154,https://open.spotify.com/track/2Oycxb8QbPkpHTo8ZrmG0B
90,Africa,TOTO,11127,https://open.spotify.com/track/2374M0fQpWi3dLnB54qaLX
91,"Wake Me Up",Avicii,11126,https://open.spotify.com/track/0nrRP2bk19rLc0orkWPQk2
92,Afterglow,"Ed Sheeran",11097,https://open.spotify.com/track/0E4Y1XIbs8GrAT1YqVy6dq
93,"Cupid's Chokehold / Breakfast in America","Gym Class Heroes",11067,https://open.spotify.com/track/2Lhdl74nwwVGOE2Gv35QuK
94,"Feel So Close - Radio Edit","Calvin Harris",11057,https://open.spotify.com/track/1gihuPhrLraKYrJMAEONyc
95,"Cheerleader - Felix Jaehn Remix Radio Edit",OMI,10995,https://open.spotify.com/track/7vFoFDWqTX0mHzLfrF1Cfy
96,Lonely,"Joel Corry",10969,https://open.spotify.com/track/2ZEq4HT450Ye9IFGPTl9qV
97,"Dancing in the Moonlight",Toploader,10960,https://open.spotify.com/track/3Fzlg5r1IjhLk2qRw667od
98,"Little More Love","AJ Tracey",10909,https://open.spotify.com/track/53HqOfi7OfHRXzcWTdGJB3
99,"Power Over Me","Dermot Kennedy",10900,https://open.spotify.com/track/4tViDtaHuSLnh7HVJTrKhs
100,"Savage Love (Laxed - Siren Beat)","Jawsh 685",10897,https://open.spotify.com/track/1xQ6trAsedVPCdbtDAmk0c
101,"Holy (feat. Chance The Rapper)","Justin Bieber",10781,https://open.spotify.com/track/6Xgq7MvZiet0hVi3KaDSgJ
102,"You Can Call Me Al","Paul Simon",10763,https://open.spotify.com/track/0qxYx4F3vm1AOnfux6dDxP
103,Golden,"Harry Styles",10693,https://open.spotify.com/track/45S5WTQEGOB1VHr1Q4FuPl
104,"Summer 91 (Looking Back)",Noizu,10658,https://open.spotify.com/track/4FEcEwbE2vsqhxbTPtiNTL
