,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
78,"Mood (feat. iann dior)",24kGoldn,6399,https://open.spotify.com/track/4jPy3l0RUwlUI9T5XHBW2m
79,Kamikazi,"Dof Twogee",6374,https://open.spotify.com/track/2K7HlGNAngiCJaaaApo2DF
80,"deja vu","Olivia Rodrigo",6359,https://open.spotify.com/track/61KpQadow081I2AsbeLcsb
81,"Calling My Phone","Lil Tjay",6209,https://open.spotify.com/track/3J8EOeKLTLXORtWPpOU5bE
82,Rudeboys,"Mente Fuerte",6206,https://open.spotify.com/track/7golvOwQUXF4LEzISx7dRF
83,"De Puta",FANN,5964,https://open.spotify.com/track/3OnPJGDQuPUJCB4SbDuKkm
84,"Leave The Door Open","Bruno Mars",5951,https://open.spotify.com/track/7MAibcTli4IisCtbHKrGMh
85,Overdose,"Lil PoP",5875,https://open.spotify.com/track/3N0dH5dZKj4momer7WIhRB
86,TSL,"Mikros Kleftis",5846,https://open.spotify.com/track/6hQJXcDJnh7hHMkzP3mMuk
87,"Man Down",Immune,5779,https://open.spotify.com/track/6CG4hzdavLVJYrLq8MfH7i
88,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,5773,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
89,"Heartbreak Anniversary",Giveon,5755,https://open.spotify.com/track/3FAJ6O0NOHQV8Mc5Ri6ENp
90,Spaceman,Light,5748,https://open.spotify.com/track/0mpeQPj9nUKFLvuOK6XyAz
91,AMG,Trannos,5691,https://open.spotify.com/track/6HmFlBFT4ZvWuDP1otLqSg
92,"Oh No",Light,5682,https://open.spotify.com/track/0tWjoH3ZHahEJgfNbOU0zU
93,Sandra,TOQUEL,5657,https://open.spotify.com/track/73KYTCSbVlj5E02qWj8DPF
94,telepatía,"Kali Uchis",5541,https://open.spotify.com/track/6tDDoYIxWvMLTdKpjFkc1B
95,Paliopaido,Josephine,5528,https://open.spotify.com/track/4B6JBE2UIUfXvNrX0Qr4Wx
96,Senorita,SNIK,5465,https://open.spotify.com/track/4Wc7eARS7kCa4oX2lQ8AxT
97,Texas,Immune,5459,https://open.spotify.com/track/5AsswjjPqCi0JgchWnZ12m
98,Kerkoporta,"Dof Twogee",5433,https://open.spotify.com/track/58vQ6pUnC8JK2NWJAgjgj8
99,Hitman,ItsOnlySkillz,5432,https://open.spotify.com/track/5dBbNYBJLpngJpsTBKP56T
100,NANA,Saske,5411,https://open.spotify.com/track/6lcgBbZKhYBnOxOS5rNlYb
101,Merokamato,"Mad Clip",5378,https://open.spotify.com/track/6QU0eI88roG2LSTFxR6UPF
102,"Paraskevi Proi","Konstantinos Argiros",5356,https://open.spotify.com/track/2eQMXyLIqi0CjI9GQtbBa9
103,"Gama To Milly",FANN,5326,https://open.spotify.com/track/6dH7pRmFPkP4fNDANfMBxl
104,"Paradise (feat. Dermot Kennedy)",MEDUZA,5313,https://open.spotify.com/track/6ft4hAq6yde8jPZY2i5zLr
105,"HIGHEST IN THE ROOM","Travis Scott",5304,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
106,Caliente,"Mente Fuerte",5297,https://open.spotify.com/track/3wjl3uPGckJUAeI5cRG0bZ
107,"Gel Burda","Dof Twogee",5262,https://open.spotify.com/track/3aML8uROR94OkM5dY74gxf
108,Comeback,Immune,5224,https://open.spotify.com/track/1SHuHHjFYyhQxf4iITkyXW
109,"Sweater Weather","The Neighbourhood",5202,https://open.spotify.com/track/2QjOHCTQ1Jl3zawyYOpxh6
110,"Another Love","Tom Odell",5192,https://open.spotify.com/track/7jtQIBanIiJOMS6RyCx6jZ
111,HOLIDAY,"Lil Nas X",5187,https://open.spotify.com/track/6zFMeegAMYQo0mt8rXtrli
112,Melanie,Mef,5103,https://open.spotify.com/track/2dXPx2RaIy16C8JnJlaETW
113,Napoli,MG,5086,https://open.spotify.com/track/5tdAToNfTBrzl0CouCqepZ
114,Credit,VLOSPA,5034,https://open.spotify.com/track/1vBxWdcP9a25Zv7dbsTN9M
115,Online,SNIK,5027,https://open.spotify.com/track/0wOsbCajTcYcXy4fpUlPIC
116,Stars,TOQUEL,5012,https://open.spotify.com/track/3MkDbpHIHxmxOzqUAClMj3
117,"Head & Heart (feat. MNEK)","Joel Corry",5002,https://open.spotify.com/track/6cx06DFPPHchuUAcTxznu9
118,Filakes,Strat,4999,https://open.spotify.com/track/0omM3mkVfjt8MhDKinkhcn
119,MPERKETI,"Dani Gambino",4986,https://open.spotify.com/track/3sDM5Gru9kHWuyWPnQVRwo
120,LDN,"FLY LO",4979,https://open.spotify.com/track/1TAypAcTg9M0u6UQ7r3LMR
121,"Love Your Voice",JONY,4953,https://open.spotify.com/track/75VNPADAFa4iNpjEBUYMhF
122,"Roses - Imanbek Remix","SAINt JHN",4926,https://open.spotify.com/track/0zLCBJZSiELJf02ucPP9wb
123,Criminale,Leaderbrain,4851,https://open.spotify.com/track/06Rn9dPc1lxouC62whG3l6
124,"Big Moves - Vol. 1",VLOSPA,4823,https://open.spotify.com/track/3PtCTx3M4m3FOC5PK9R8t6
125,131X,"Dani Gambino",4821,https://open.spotify.com/track/6yUdOU2XSWqMFFfBEoW6RW
126,"El Diablo","Elena Tsagrinou",4811,https://open.spotify.com/track/4TAttqXwjj56xZQVKvlX0K
127,"Best Friend (feat. Doja Cat)",Saweetie,4811,https://open.spotify.com/track/20BOju91NaEFK5Py4VJ2pp
128,Levitating,"Dua Lipa",4705,https://open.spotify.com/track/39LLxExYz6ewLAcYrzQQyP
129,"2 Ores","Mad Clip",4673,https://open.spotify.com/track/6tserlpy6hsTnLPImpw9Di
130,Cyan,Saske,4624,https://open.spotify.com/track/7lOk3JSaMnbZhG381VLa6C
131,"Xronia Polla",FANN,4613,https://open.spotify.com/track/1lbPWkDthFl2Dp36cSxnTq
132,"The Box","Roddy Ricch",4612,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
133,"Roz Panthiras",Light,4577,https://open.spotify.com/track/5lHhoLhB2A85h40FHhVud1
134,goosebumps,"Travis Scott",4569,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
135,"WITHOUT YOU","The Kid LAROI",4568,https://open.spotify.com/track/27OeeYzk6klgBh83TSvGMA
136,Taliban,"Mike G",4562,https://open.spotify.com/track/29YE4ANAgOBbs6CDdIRhSQ
137,Kotera,"Mad Clip",4539,https://open.spotify.com/track/3f7zVrAcCZ1BVlArmg8wzr
138,Theates,FANN,4526,https://open.spotify.com/track/5LsZmk8MSyArWX0ICk8QP3
139,"Slime DNA","Thug Slime",4501,https://open.spotify.com/track/4XldPK1Ov4Vd8fTjCajZRE
140,"Agria Thalassa - Bonus Track","Giorgos Sabanis",4457,https://open.spotify.com/track/4gbWhkf7IWTExWXnx1TwW7
141,Varane,"Dof Twogee",4442,https://open.spotify.com/track/2d4DjOhZD8gHitp39slVz3
