,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
64,Obito,BU$HI,73766,https://open.spotify.com/track/2bXRmU7X5Te9FCBEjlwUEx
65,"Zone à danger",SCH,73717,https://open.spotify.com/track/4QAgUdcBSPz0TkqFCJmoRp
66,"RATPI WORLD",Booba,73584,https://open.spotify.com/track/2ZjTAieewsBC24kPGfLagc
67,"Si on disait","M. Pokora",72957,https://open.spotify.com/track/3fNwPIjTE0rOO9chAavgQG
68,"Mother Fuck",Jul,72376,https://open.spotify.com/track/0QMHp1X3B5BGN6J3HynHT1
69,Fournaise,SCH,71971,https://open.spotify.com/track/0RJn54iW71JQg9g2ZJVAPF
70,"Mango - Extrait de la BO de « En Passant Pécho »",Kore,71887,https://open.spotify.com/track/05N9UV9Nyl8jlo2twhksDj
71,"La vie du binks (feat. Hornet La Frappe, Leto, Sadek, Soprano)","DA Uzi",71389,https://open.spotify.com/track/4tJYqq9gYr0RATc1BpDkpy
72,Whoopty,CJ,70744,https://open.spotify.com/track/1t9WgS8FN0534tLBRwbaxO
73,"Lettre à une femme",Ninho,70322,https://open.spotify.com/track/5HEtuK03ygUzqca6yfgOYZ
74,"TCHIN 2X",Gazo,68714,https://open.spotify.com/track/3K8Iec6qaIpcVgyWs0hOYq
75,"9 1 1 3 (feat. SCH)",Zola,68211,https://open.spotify.com/track/3WCMzZvH2zK476lasbLx0s
76,"C'est cuit (feat. Aya Nakamura & Swae Lee)","Major Lazer",66846,https://open.spotify.com/track/1w4JFPONvpiZs1VZ9oSBsA
77,Assoces,SCH,66043,https://open.spotify.com/track/65qLZYZ9jtjC4oHJlNz3RF
78,"Château noir",Kaaris,65897,https://open.spotify.com/track/5L09CdaER796cCJOhik0D8
79,VVV,Booba,65115,https://open.spotify.com/track/0Q1ZthgaRH9sLIHHDrzX4X
80,"drivers license","Olivia Rodrigo",65051,https://open.spotify.com/track/7lPN2DXiMsVn7XUKtOW1CS
81,BB,"Djadja & Dinaz",64971,https://open.spotify.com/track/42iot95IIzvmHIjgas4y2R
82,"Lemonade (feat. Gunna, Don Toliver & NAV)","Internet Money",64838,https://open.spotify.com/track/7hxHWCCAIIxFLCzvDgnQHX
