,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
55,"Amikor Feladnád","Halott Pénz",5616,https://open.spotify.com/track/5pZDYdwuEWlCT2Rs7mNyvW
56,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,5610,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
57,"Ride It",Regard,5592,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ
58,"Szívedből minden kell","Halott Pénz",5559,https://open.spotify.com/track/4WYzTp2lLIWrlEqIOfADrf
59,BED,"Joel Corry",5544,https://open.spotify.com/track/0siYMEsGrzzzlWLXK5zJfS
60,"A csúcson túl",Majka,5510,https://open.spotify.com/track/1ALcKeanaLRqriV8qcQcjQ
61,Megmondtam,"T. Danny",5353,https://open.spotify.com/track/4vtPjmwiNXDg7DOfB3gLet
62,Goosebumps,HVME,5344,https://open.spotify.com/track/20McUFi8KCIVdNDLrkTDuZ
63,"Jerusalema (feat. Nomcebo Zikode)","Master KG",5341,https://open.spotify.com/track/2MlOUXmcofMackX3bxfSwi
64,telepatía,"Kali Uchis",5318,https://open.spotify.com/track/6tDDoYIxWvMLTdKpjFkc1B
65,"Heat Waves","Glass Animals",5316,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx
66,Mostantól,"Rácz Gergõ",5297,https://open.spotify.com/track/25dMOeb3nDs8BPjxrQyOjR
67,"Leave The Door Open","Bruno Mars",5280,https://open.spotify.com/track/7MAibcTli4IisCtbHKrGMh
68,"Háborgó mélység 2","Lotfi Begi",5218,https://open.spotify.com/track/1X0AvW2wtoDeuluMYqJMdH
69,"We're Good","Dua Lipa",5196,https://open.spotify.com/track/1diS6nkxMQc3wwC4G1j0bh
70,"Szomorú séta",Wellhello,5138,https://open.spotify.com/track/6tPlQxKmioUpq7GChki71m
71,"Some Say - Felix Jaehn Remix",Nea,5002,https://open.spotify.com/track/7C1trmcQQ5n5RNy4l6ziCv
72,Hypnotized,"Purple Disco Machine",4996,https://open.spotify.com/track/0vWUhCPxpJOJR5urYbZypB
73,"On My Mind",Diplo,4981,https://open.spotify.com/track/54hA0ldJYyT1huGfSeOjdQ
74,"Don't Say Goodbye (feat. Tove Lo)",Alok,4967,https://open.spotify.com/track/0GTPmh5G40joBg93vcSQNq
75,Cella,"Bruno X Spacc",4930,https://open.spotify.com/track/1lzJmwdvxnJdnKUcedpOWx
76,"Heartbreak Anniversary",Giveon,4891,https://open.spotify.com/track/3FAJ6O0NOHQV8Mc5Ri6ENp
77,"Dance Monkey","Tones And I",4843,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
78,"Pressure (feat. Tove Lo)","Martin Garrix",4826,https://open.spotify.com/track/4ga4WvRNhMsIL38pkBbnIN
79,Élvezd,"Punnany Massif",4712,https://open.spotify.com/track/15Zz41Ec3C6Rh6nDZa8331
80,Streets,"Doja Cat",4711,https://open.spotify.com/track/60ynsPSSKe6O3sfwRnIBRf
81,"Nem tudja senki","Follow The Flow",4706,https://open.spotify.com/track/1YO5hgAhxTRErZKKWyrMnu
82,"GIRL LIKE ME","Black Eyed Peas",4703,https://open.spotify.com/track/2vBET2pmrQqafaS6zIaYta
83,Levitating,"Dua Lipa",4695,https://open.spotify.com/track/39LLxExYz6ewLAcYrzQQyP
84,"All We Got (feat. KIDDO)","Robin Schulz",4674,https://open.spotify.com/track/1iAyJBksvAI6DQEnzv8l1E
85,Yaay,Bsw,4620,https://open.spotify.com/track/4gY9fdFTRmdyXKTmxRa4oI
86,"All Around The World (La La La)",R3HAB,4610,https://open.spotify.com/track/02itaCXOdC54J0ISjqqFAp
87,Ördög,KKevin,4582,https://open.spotify.com/track/2g66WNGrG37asGLh88d2Lu
88,"Sweater Weather","The Neighbourhood",4576,https://open.spotify.com/track/2QjOHCTQ1Jl3zawyYOpxh6
89,"Többet kéne mosolyognom","Halott Pénz",4507,https://open.spotify.com/track/44o8RwfbFgwUyaNwLC68FN
90,"Calling My Phone","Lil Tjay",4492,https://open.spotify.com/track/3J8EOeKLTLXORtWPpOU5bE
91,"Budán Vagy Pesten","Bruno X Spacc",4490,https://open.spotify.com/track/0vrf1NID7s25S8ISHVZlQM
92,"Nincsen véletlen","Halott Pénz",4488,https://open.spotify.com/track/3lIIsMKvSPmSEsEBWBzbHj
93,"Mennyország Tourist",Tankcsapda,4486,https://open.spotify.com/track/1Hmqe1oW9VVr5TKCoA5Hyl
94,"Someone You Loved","Lewis Capaldi",4448,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
95,"Best Friend (feat. Doja Cat)",Saweetie,4415,https://open.spotify.com/track/20BOju91NaEFK5Py4VJ2pp
96,"Savage Love (Laxed - Siren Beat)","Jawsh 685",4415,https://open.spotify.com/track/1xQ6trAsedVPCdbtDAmk0c
