,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
81,"Dime Cómo Quieres","Christian Nodal",17434,https://open.spotify.com/track/4jcxBTrNvyqMJdMDyyjdYV
82,"La Forma en Que Me Miras","Super Yei",17407,https://open.spotify.com/track/57Ba26w9eoXx8BBUNgRNLV
83,"drivers license","Olivia Rodrigo",17187,https://open.spotify.com/track/7lPN2DXiMsVn7XUKtOW1CS
84,Favorito,Camilo,17064,https://open.spotify.com/track/0jT8Nl0shPS8115is0wD2Q
85,Tú,"Carin Leon",17052,https://open.spotify.com/track/1nLs8r6K4YN0avBwUmmTnr
86,"La Jeepeta - Remix","Nio Garcia",16900,https://open.spotify.com/track/6bvfJf4KjonPMuPfGfy3S2
87,PROBLEMA,"Daddy Yankee",16771,https://open.spotify.com/track/2dl5K2ScW7jYhAhuem06cm
88,Callaita,"Bad Bunny",16542,https://open.spotify.com/track/2TH65lNHgvLxCKXM3apjxI
89,"La Curiosidad (feat. Dj Nelson, Jhay Cortez, Lunay & Kendo Kaponi) - Blue Grand Prix Remix","Jay Wheeler",16460,https://open.spotify.com/track/7LE1K0lZyRFZjSlrnm7lfD
90,"Ropa Cara",Camilo,16427,https://open.spotify.com/track/2zY1iTaEgs8ROkkWtWLe7l
91,"Astronaut In The Ocean","Masked Wolf",16350,https://open.spotify.com/track/3VT8hOC5vuDXBsHrR53WFh
92,"Hola - Remix",Dalex,16312,https://open.spotify.com/track/5stPVcRqb4qixbafP9e8lt
93,"BOOKER T","Bad Bunny",16193,https://open.spotify.com/track/26w9NTiE9NGjW1ZvIOd1So
94,"Adicta al Dolor",Marbelle,16134,https://open.spotify.com/track/0V0350NvG0jvbiUTXPzIXU
95,Dynamite,BTS,16032,https://open.spotify.com/track/4saklk6nie3yiGePpBwUoc
96,"Tan Bonita","Piso 21",16026,https://open.spotify.com/track/6mm3K0yWp6uzfOMuipM9Zh
97,"Heartbreak Anniversary",Giveon,15981,https://open.spotify.com/track/3FAJ6O0NOHQV8Mc5Ri6ENp
98,"Mi Venganza",Alzate,15774,https://open.spotify.com/track/0z7h1C28EemMAFcpkp0iWL
99,LEYENDAS,"KAROL G",15648,https://open.spotify.com/track/5vQy9fwVJTeLsaX9IOpCcp
100,"Soltero Feliz","Espinoza Paz",15645,https://open.spotify.com/track/0J3K43YwdkPzfce68mdQrW
101,"Te Vi","Piso 21",15614,https://open.spotify.com/track/059bcIhyc2SBwm6sw2AZzd
102,512,Mora,15601,https://open.spotify.com/track/5jzEwSyyymBlf1fa1o39T2
103,"Si Estuviésemos Juntos","Bad Bunny",15576,https://open.spotify.com/track/35wvL50xvKpCHEJPxLOLPI
104,"De Cora <3","Rauw Alejandro",15557,https://open.spotify.com/track/22Sh5dlwbERqJAq1fZk5b2
105,Llorarás,"Dimension Latina",15507,https://open.spotify.com/track/2naqSVQHgiaoEpxtkVOhmK
106,"Kiss Me More (feat. SZA)","Doja Cat",15371,https://open.spotify.com/track/748mdHapucXQri7IAO8yFK
107,"PORFA Remix ( Feat. Maluma, Nicky Jam, Sech) - Remix",Feid,15203,https://open.spotify.com/track/7lUdbnz7wsv3C9zzf4WHl9
108,"PIN PIN","Myke Towers",15060,https://open.spotify.com/track/51tMYALx6Lkrte41DoWIPq
109,"200 COPAS","KAROL G",14980,https://open.spotify.com/track/0aZnyTWJNgdzYoOiaW8HKG
110,"Si Veo a Tu Mamá","Bad Bunny",14957,https://open.spotify.com/track/41wtwzCZkXwpnakmwJ239F
111,2/Catorce,"Rauw Alejandro",14945,https://open.spotify.com/track/71R8HJxQk5qMiRstrlXN9t
112,"Me Rehúso","Danny Ocean",14915,https://open.spotify.com/track/6ifUES3keWjwXgae8pXI3o
113,Safaera,"Bad Bunny",14900,https://open.spotify.com/track/2DEZmgHKAvm41k4J3R2E9Y
114,"En Tu Cuerpo - Remix",Lyanno,14781,https://open.spotify.com/track/3dEtfTtCXWW7N8WQ9FD29z
115,"Se Me Olvidó","Christian Nodal",14697,https://open.spotify.com/track/7paFC3FEu1WtPVP4Do6VZN
116,"Miedito o Qué? (feat. KAROL G)","Ovy On The Drums",14298,https://open.spotify.com/track/7MoZgM6AsQaZw14WnKopuy
117,Levitating,"Dua Lipa",14265,https://open.spotify.com/track/39LLxExYz6ewLAcYrzQQyP
118,Caraluna,Bacilos,14254,https://open.spotify.com/track/7DhYjNLksXZhbRQeheAums
